GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
39001,2000,Adams County,Ohio,27330.0,17.36,2746.0,26.15,381.0,29315.0,67400.0,22.7,97.34,0.17,0.64,0.63,0.12,0.03,1.02,0.04,68.0,49.0,1.78,2.48,0,0,0
39001,2001,Adams County,Ohio,27330.0,17.36,2792.0,26.15,381.0,29315.0,67400.0,22.7,97.34,0.17,0.64,0.63,0.12,0.03,1.02,0.04,62.0,39.0,1.4,2.22,0,0,0
39001,2002,Adams County,Ohio,27330.0,17.36,2837.0,26.15,381.0,29315.0,67400.0,22.7,97.34,0.17,0.64,0.63,0.12,0.03,1.02,0.04,50.0,36.0,1.27,1.76,1,0,0
39001,2003,Adams County,Ohio,27330.0,17.36,2883.0,26.15,381.0,29315.0,67400.0,22.7,97.34,0.17,0.64,0.63,0.12,0.03,1.02,0.04,34.0,32.0,1.11,1.18,1,0,0
39001,2004,Adams County,Ohio,27330.0,17.36,2928.0,26.15,381.0,29315.0,67400.0,22.7,97.34,0.17,0.64,0.63,0.12,0.03,1.02,0.04,53.0,51.0,1.74,1.81,1,0,0
39001,2005,Adams County,Ohio,28142.0,18.59,2974.0,27.33,498.0,33850.0,95400.0,30.5,96.74,0.36,0.76,0.31,0.08,0.0,1.76,0.0,44.0,43.0,1.45,1.48,1,0,0
39001,2006,Adams County,Ohio,28142.0,18.59,3019.0,27.33,498.0,33850.0,95400.0,30.5,96.74,0.36,0.76,0.31,0.08,0.0,1.76,0.0,66.0,63.0,2.09,2.19,1,0,0
39001,2007,Adams County,Ohio,28142.0,18.59,3065.0,27.33,498.0,33850.0,95400.0,30.5,96.74,0.36,0.76,0.31,0.08,0.0,1.76,0.0,81.0,80.0,2.61,2.64,1,0,0
39001,2008,Adams County,Ohio,28142.0,18.59,3110.0,27.33,498.0,33850.0,95400.0,30.5,96.74,0.36,0.76,0.31,0.08,0.0,1.76,0.0,76.0,76.0,2.44,2.44,1,0,0
39001,2009,Adams County,Ohio,28142.0,18.59,3156.0,27.33,498.0,33850.0,95400.0,30.5,96.74,0.36,0.76,0.31,0.08,0.0,1.76,0.0,65.0,64.0,2.03,2.06,1,0,0
39001,2010,Adams County,Ohio,28550.0,18.57,3201.0,28.72,522.0,34282.0,94600.0,31.4,97.07,0.29,0.85,0.37,0.11,0.01,1.26,0.04,42.0,42.0,1.31,1.31,1,0,0
39001,2011,Adams County,Ohio,28229.0,18.79,3248.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,83.0,68.0,2.09,2.56,0,0,0
39001,2012,Adams County,Ohio,28229.0,18.79,3294.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,82.0,76.0,2.31,2.49,0,0,0
39001,2013,Adams County,Ohio,28229.0,18.79,3341.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,80.0,68.0,2.04,2.39,0,0,0
39001,2014,Adams County,Ohio,28229.0,18.79,3387.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,76.0,68.0,2.01,2.24,0,0,0
39001,2015,Adams County,Ohio,28229.0,18.79,3434.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,108.0,90.0,2.62,3.15,0,0,0
39001,2016,Adams County,Ohio,28229.0,18.79,3480.0,30.97,562.0,35560.0,87900.0,34.4,96.71,0.38,0.87,0.23,0.11,0.0,1.69,0.01,111.0,89.0,2.56,3.19,0,0,0
39003,2000,Allen County,Ohio,108473.0,12.1,11358.0,27.94,446.0,37048.0,81800.0,23.1,84.22,12.1,1.42,0.19,0.55,0.01,1.31,0.19,,,,,0,0,0
39003,2001,Allen County,Ohio,108473.0,12.1,11474.0,27.94,446.0,37048.0,81800.0,23.1,84.22,12.1,1.42,0.19,0.55,0.01,1.31,0.19,781.0,448.0,3.9,6.81,0,0,0
39003,2002,Allen County,Ohio,108473.0,12.1,11590.0,27.94,446.0,37048.0,81800.0,23.1,84.22,12.1,1.42,0.19,0.55,0.01,1.31,0.19,769.0,428.0,3.69,6.63,0,0,0
39003,2003,Allen County,Ohio,108473.0,12.1,11707.0,27.94,446.0,37048.0,81800.0,23.1,84.22,12.1,1.42,0.19,0.55,0.01,1.31,0.19,718.0,423.0,3.61,6.13,0,0,0
39003,2004,Allen County,Ohio,108473.0,12.1,11823.0,27.94,446.0,37048.0,81800.0,23.1,84.22,12.1,1.42,0.19,0.55,0.01,1.31,0.19,891.0,496.0,4.2,7.54,0,0,0
39003,2005,Allen County,Ohio,104946.0,10.99,11939.0,29.24,590.0,43433.0,101700.0,29.4,83.71,11.22,1.87,0.3,0.59,0.01,2.13,0.19,840.0,221.0,1.85,7.04,0,0,0
39003,2006,Allen County,Ohio,104946.0,10.99,12055.0,29.24,590.0,43433.0,101700.0,29.4,83.71,11.22,1.87,0.3,0.59,0.01,2.13,0.19,887.0,516.0,4.28,7.36,0,0,0
39003,2007,Allen County,Ohio,104946.0,10.99,12171.0,29.24,590.0,43433.0,101700.0,29.4,83.71,11.22,1.87,0.3,0.59,0.01,2.13,0.19,876.0,532.0,4.37,7.2,0,0,0
39003,2008,Allen County,Ohio,104946.0,10.99,12288.0,29.24,590.0,43433.0,101700.0,29.4,83.71,11.22,1.87,0.3,0.59,0.01,2.13,0.19,970.0,551.0,4.48,7.89,0,0,0
39003,2009,Allen County,Ohio,104946.0,10.99,12404.0,29.24,590.0,43433.0,101700.0,29.4,83.71,11.22,1.87,0.3,0.59,0.01,2.13,0.19,867.0,495.0,3.99,6.99,0,0,0
39003,2010,Allen County,Ohio,106331.0,13.49,12520.0,30.82,635.0,43194.0,104400.0,32.7,82.49,11.76,2.36,0.15,0.68,0.01,2.29,0.25,877.0,471.0,3.76,7.0,0,0,0
39003,2011,Allen County,Ohio,105196.0,12.69,12757.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,912.0,523.0,4.1,7.15,0,0,0
39003,2012,Allen County,Ohio,105196.0,12.69,12993.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,788.0,468.0,3.6,6.06,0,0,0
39003,2013,Allen County,Ohio,105196.0,12.69,13230.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,784.0,440.0,3.33,5.93,0,0,0
39003,2014,Allen County,Ohio,105196.0,12.69,13466.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,841.0,503.0,3.74,6.25,0,0,0
39003,2015,Allen County,Ohio,105196.0,12.69,13703.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,815.0,448.0,3.27,5.95,0,0,0
39003,2016,Allen County,Ohio,105196.0,12.69,13939.0,32.77,639.0,44103.0,105400.0,31.4,81.63,12.02,2.67,0.26,0.75,0.0,2.53,0.14,886.0,529.0,3.8,6.36,0,0,0
39005,2000,Ashland County,Ohio,52523.0,9.46,4758.0,24.37,471.0,39179.0,95900.0,22.4,97.14,0.8,0.65,0.1,0.54,0.03,0.69,0.06,,,,,0,0,0
39005,2001,Ashland County,Ohio,52523.0,9.46,4784.0,24.37,471.0,39179.0,95900.0,22.4,97.14,0.8,0.65,0.1,0.54,0.03,0.69,0.06,74.0,37.0,0.77,1.55,1,0,0
39005,2002,Ashland County,Ohio,52523.0,9.46,4810.0,24.37,471.0,39179.0,95900.0,22.4,97.14,0.8,0.65,0.1,0.54,0.03,0.69,0.06,113.0,60.0,1.25,2.35,0,0,0
39005,2003,Ashland County,Ohio,52523.0,9.46,4837.0,24.37,471.0,39179.0,95900.0,22.4,97.14,0.8,0.65,0.1,0.54,0.03,0.69,0.06,141.0,71.0,1.47,2.92,0,0,0
39005,2004,Ashland County,Ohio,52523.0,9.46,4863.0,24.37,471.0,39179.0,95900.0,22.4,97.14,0.8,0.65,0.1,0.54,0.03,0.69,0.06,165.0,101.0,2.08,3.39,0,0,0
39005,2005,Ashland County,Ohio,54622.0,9.02,4889.0,20.96,609.0,45556.0,129400.0,31.7,96.43,0.65,0.84,0.25,0.82,0.1,0.84,0.07,139.0,80.0,1.64,2.84,0,0,0
39005,2006,Ashland County,Ohio,54622.0,9.02,4915.0,20.96,609.0,45556.0,129400.0,31.7,96.43,0.65,0.84,0.25,0.82,0.1,0.84,0.07,130.0,80.0,1.63,2.64,0,0,0
39005,2007,Ashland County,Ohio,54622.0,9.02,4941.0,20.96,609.0,45556.0,129400.0,31.7,96.43,0.65,0.84,0.25,0.82,0.1,0.84,0.07,140.0,104.0,2.1,2.83,0,0,0
39005,2008,Ashland County,Ohio,54622.0,9.02,4968.0,20.96,609.0,45556.0,129400.0,31.7,96.43,0.65,0.84,0.25,0.82,0.1,0.84,0.07,163.0,93.0,1.87,3.28,0,0,0
39005,2009,Ashland County,Ohio,54622.0,9.02,4994.0,20.96,609.0,45556.0,129400.0,31.7,96.43,0.65,0.84,0.25,0.82,0.1,0.84,0.07,119.0,83.0,1.66,2.38,0,0,0
39005,2010,Ashland County,Ohio,53139.0,12.13,5020.0,24.86,668.0,44996.0,124500.0,29.3,96.64,0.74,0.94,0.14,0.52,0.07,0.9,0.04,124.0,82.0,1.63,2.47,0,0,0
39005,2011,Ashland County,Ohio,53189.0,10.45,5132.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,166.0,110.0,2.14,3.23,0,0,0
39005,2012,Ashland County,Ohio,53189.0,10.45,5243.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,99.0,71.0,1.35,1.89,0,0,0
39005,2013,Ashland County,Ohio,53189.0,10.45,5355.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,126.0,92.0,1.72,2.35,0,0,0
39005,2014,Ashland County,Ohio,53189.0,10.45,5466.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,128.0,96.0,1.76,2.34,0,0,0
39005,2015,Ashland County,Ohio,53189.0,10.45,5578.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,154.0,106.0,1.9,2.76,0,0,0
39005,2016,Ashland County,Ohio,53189.0,10.45,5689.0,28.13,676.0,48003.0,120800.0,23.8,96.19,0.83,1.14,0.07,0.54,0.0,1.22,0.02,121.0,104.0,1.83,2.13,0,0,0
39007,2000,Ashtabula County,Ohio,102728.0,12.06,10209.0,25.91,473.0,35607.0,85300.0,23.5,92.95,3.08,2.23,0.17,0.32,0.02,1.16,0.06,,,,,0,0,0
39007,2001,Ashtabula County,Ohio,102728.0,12.06,10298.0,25.91,473.0,35607.0,85300.0,23.5,92.95,3.08,2.23,0.17,0.32,0.02,1.16,0.06,465.0,230.0,2.23,4.52,0,0,0
39007,2002,Ashtabula County,Ohio,102728.0,12.06,10386.0,25.91,473.0,35607.0,85300.0,23.5,92.95,3.08,2.23,0.17,0.32,0.02,1.16,0.06,445.0,240.0,2.31,4.28,0,0,0
39007,2003,Ashtabula County,Ohio,102728.0,12.06,10475.0,25.91,473.0,35607.0,85300.0,23.5,92.95,3.08,2.23,0.17,0.32,0.02,1.16,0.06,465.0,201.0,1.92,4.44,0,0,0
39007,2004,Ashtabula County,Ohio,102728.0,12.06,10563.0,25.91,473.0,35607.0,85300.0,23.5,92.95,3.08,2.23,0.17,0.32,0.02,1.16,0.06,477.0,169.0,1.6,4.52,0,0,0
39007,2005,Ashtabula County,Ohio,101375.0,11.67,10652.0,27.62,596.0,41498.0,118000.0,29.6,91.57,3.04,3.19,0.22,0.24,0.0,1.46,0.28,556.0,178.0,1.67,5.22,0,0,0
39007,2006,Ashtabula County,Ohio,101375.0,11.67,10740.0,27.62,596.0,41498.0,118000.0,29.6,91.57,3.04,3.19,0.22,0.24,0.0,1.46,0.28,590.0,179.0,1.67,5.49,0,0,0
39007,2007,Ashtabula County,Ohio,101375.0,11.67,10829.0,27.62,596.0,41498.0,118000.0,29.6,91.57,3.04,3.19,0.22,0.24,0.0,1.46,0.28,497.0,149.0,1.38,4.59,0,0,0
39007,2008,Ashtabula County,Ohio,101375.0,11.67,10917.0,27.62,596.0,41498.0,118000.0,29.6,91.57,3.04,3.19,0.22,0.24,0.0,1.46,0.28,339.0,132.0,1.21,3.11,1,0,0
39007,2009,Ashtabula County,Ohio,101375.0,11.67,11006.0,27.62,596.0,41498.0,118000.0,29.6,91.57,3.04,3.19,0.22,0.24,0.0,1.46,0.28,434.0,140.0,1.27,3.94,0,0,0
39007,2010,Ashtabula County,Ohio,101497.0,13.06,11094.0,28.18,624.0,41075.0,113800.0,32.3,90.77,3.42,3.39,0.2,0.37,0.02,1.8,0.04,416.0,143.0,1.29,3.75,0,0,0
39007,2011,Ashtabula County,Ohio,99777.0,14.39,11270.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,485.0,200.0,1.77,4.3,0,0,0
39007,2012,Ashtabula County,Ohio,99777.0,14.39,11445.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,535.0,240.0,2.1,4.67,0,0,0
39007,2013,Ashtabula County,Ohio,99777.0,14.39,11621.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,538.0,293.0,2.52,4.63,0,0,0
39007,2014,Ashtabula County,Ohio,99777.0,14.39,11797.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,557.0,288.0,2.44,4.72,0,0,0
39007,2015,Ashtabula County,Ohio,99777.0,14.39,11972.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,524.0,288.0,2.41,4.38,0,0,0
39007,2016,Ashtabula County,Ohio,99777.0,14.39,12148.0,28.77,628.0,40544.0,106000.0,32.1,90.16,3.35,3.76,0.11,0.47,0.02,2.05,0.07,568.0,267.0,2.2,4.68,0,0,0
39009,2000,Athens County,Ohio,62223.0,27.35,8896.0,39.54,469.0,27322.0,84300.0,36.5,92.84,2.36,1.03,0.26,1.9,0.02,1.48,0.12,,,,,0,0,0
39009,2001,Athens County,Ohio,62223.0,27.35,9023.0,39.54,469.0,27322.0,84300.0,36.5,92.84,2.36,1.03,0.26,1.9,0.02,1.48,0.12,104.0,101.0,1.12,1.15,1,0,0
39009,2002,Athens County,Ohio,62223.0,27.35,9150.0,39.54,469.0,27322.0,84300.0,36.5,92.84,2.36,1.03,0.26,1.9,0.02,1.48,0.12,117.0,102.0,1.11,1.28,0,0,0
39009,2003,Athens County,Ohio,62223.0,27.35,9276.0,39.54,469.0,27322.0,84300.0,36.5,92.84,2.36,1.03,0.26,1.9,0.02,1.48,0.12,119.0,106.0,1.14,1.28,0,0,0
39009,2004,Athens County,Ohio,62223.0,27.35,9403.0,39.54,469.0,27322.0,84300.0,36.5,92.84,2.36,1.03,0.26,1.9,0.02,1.48,0.12,110.0,62.0,0.66,1.17,0,0,0
39009,2005,Athens County,Ohio,63073.0,17.96,9530.0,42.14,664.0,30190.0,110500.0,50.0,92.39,2.67,1.3,0.14,2.0,0.0,1.43,0.07,140.0,49.0,0.51,1.47,0,0,0
39009,2006,Athens County,Ohio,63073.0,17.96,9657.0,42.14,664.0,30190.0,110500.0,50.0,92.39,2.67,1.3,0.14,2.0,0.0,1.43,0.07,151.0,41.0,0.42,1.56,0,0,0
39009,2007,Athens County,Ohio,63073.0,17.96,9784.0,42.14,664.0,30190.0,110500.0,50.0,92.39,2.67,1.3,0.14,2.0,0.0,1.43,0.07,151.0,47.0,0.48,1.54,0,0,0
39009,2008,Athens County,Ohio,63073.0,17.96,9910.0,42.14,664.0,30190.0,110500.0,50.0,92.39,2.67,1.3,0.14,2.0,0.0,1.43,0.07,130.0,35.0,0.35,1.31,0,0,0
39009,2009,Athens County,Ohio,63073.0,17.96,10037.0,42.14,664.0,30190.0,110500.0,50.0,92.39,2.67,1.3,0.14,2.0,0.0,1.43,0.07,149.0,39.0,0.39,1.48,0,0,0
39009,2010,Athens County,Ohio,64757.0,17.34,10164.0,43.11,674.0,33836.0,118700.0,43.6,90.77,2.69,1.55,0.22,2.69,0.02,1.97,0.1,142.0,63.0,0.62,1.4,0,0,0
39009,2011,Athens County,Ohio,64974.0,19.66,10346.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,211.0,96.0,0.93,2.04,0,0,0
39009,2012,Athens County,Ohio,64974.0,19.66,10528.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,166.0,80.0,0.76,1.58,0,0,0
39009,2013,Athens County,Ohio,64974.0,19.66,10710.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,211.0,106.0,0.99,1.97,0,0,0
39009,2014,Athens County,Ohio,64974.0,19.66,10891.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,158.0,58.0,0.53,1.45,1,0,0
39009,2015,Athens County,Ohio,64974.0,19.66,11073.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,215.0,62.0,0.56,1.94,0,0,0
39009,2016,Athens County,Ohio,64974.0,19.66,11255.0,43.69,705.0,33872.0,117700.0,40.6,90.06,2.28,1.82,0.17,3.28,0.04,2.31,0.05,242.0,82.0,0.73,2.15,0,0,0
39011,2000,Auglaize County,Ohio,46611.0,6.17,3840.0,22.1,457.0,43367.0,90600.0,19.2,97.73,0.23,0.67,0.16,0.4,0.02,0.75,0.03,,,,,0,0,0
39011,2001,Auglaize County,Ohio,46611.0,6.17,3878.0,22.1,457.0,43367.0,90600.0,19.2,97.73,0.23,0.67,0.16,0.4,0.02,0.75,0.03,126.0,109.0,2.81,3.25,0,0,0
39011,2002,Auglaize County,Ohio,46611.0,6.17,3917.0,22.1,457.0,43367.0,90600.0,19.2,97.73,0.23,0.67,0.16,0.4,0.02,0.75,0.03,111.0,73.0,1.86,2.83,0,0,0
39011,2003,Auglaize County,Ohio,46611.0,6.17,3955.0,22.1,457.0,43367.0,90600.0,19.2,97.73,0.23,0.67,0.16,0.4,0.02,0.75,0.03,113.0,49.0,1.24,2.86,1,0,0
39011,2004,Auglaize County,Ohio,46611.0,6.17,3993.0,22.1,457.0,43367.0,90600.0,19.2,97.73,0.23,0.67,0.16,0.4,0.02,0.75,0.03,75.0,63.0,1.58,1.88,1,0,0
39011,2005,Auglaize County,Ohio,46620.0,5.35,4032.0,21.8,617.0,52185.0,122200.0,23.3,96.71,0.36,0.86,0.25,0.64,0.1,1.01,0.07,93.0,59.0,1.46,2.31,1,0,0
39011,2006,Auglaize County,Ohio,46620.0,5.35,4070.0,21.8,617.0,52185.0,122200.0,23.3,96.71,0.36,0.86,0.25,0.64,0.1,1.01,0.07,61.0,46.0,1.13,1.5,1,0,0
39011,2007,Auglaize County,Ohio,46620.0,5.35,4108.0,21.8,617.0,52185.0,122200.0,23.3,96.71,0.36,0.86,0.25,0.64,0.1,1.01,0.07,35.0,33.0,0.8,0.85,1,0,0
39011,2008,Auglaize County,Ohio,46620.0,5.35,4146.0,21.8,617.0,52185.0,122200.0,23.3,96.71,0.36,0.86,0.25,0.64,0.1,1.01,0.07,55.0,42.0,1.01,1.33,1,0,0
39011,2009,Auglaize County,Ohio,46620.0,5.35,4185.0,21.8,617.0,52185.0,122200.0,23.3,96.71,0.36,0.86,0.25,0.64,0.1,1.01,0.07,88.0,47.0,1.12,2.1,0,0,0
39011,2010,Auglaize County,Ohio,45949.0,5.99,4223.0,23.5,648.0,52267.0,127200.0,24.8,97.12,0.27,1.18,0.16,0.36,0.03,0.82,0.05,82.0,50.0,1.18,1.94,0,0,0
39011,2011,Auglaize County,Ohio,45873.0,6.11,4308.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,90.0,50.0,1.16,2.09,0,0,0
39011,2012,Auglaize County,Ohio,45873.0,6.11,4392.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,74.0,45.0,1.02,1.68,0,0,0
39011,2013,Auglaize County,Ohio,45873.0,6.11,4477.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,83.0,52.0,1.16,1.85,0,0,0
39011,2014,Auglaize County,Ohio,45873.0,6.11,4561.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,84.0,65.0,1.43,1.84,0,0,0
39011,2015,Auglaize County,Ohio,45873.0,6.11,4646.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,104.0,54.0,1.16,2.24,0,0,0
39011,2016,Auglaize County,Ohio,45873.0,6.11,4730.0,25.83,642.0,54274.0,133300.0,23.7,96.51,0.45,1.38,0.23,0.45,0.04,0.91,0.02,136.0,86.0,1.82,2.88,0,0,0
39013,2000,Belmont County,Ohio,70226.0,14.58,7080.0,25.01,362.0,29714.0,64600.0,24.4,94.71,3.63,0.39,0.13,0.3,0.02,0.73,0.09,,,,,0,0,0
39013,2001,Belmont County,Ohio,70226.0,14.58,7139.0,25.01,362.0,29714.0,64600.0,24.4,94.71,3.63,0.39,0.13,0.3,0.02,0.73,0.09,,,,,0,0,0
39013,2002,Belmont County,Ohio,70226.0,14.58,7199.0,25.01,362.0,29714.0,64600.0,24.4,94.71,3.63,0.39,0.13,0.3,0.02,0.73,0.09,107.0,68.0,0.94,1.49,1,0,0
39013,2003,Belmont County,Ohio,70226.0,14.58,7258.0,25.01,362.0,29714.0,64600.0,24.4,94.71,3.63,0.39,0.13,0.3,0.02,0.73,0.09,89.0,65.0,0.9,1.23,1,0,0
39013,2004,Belmont County,Ohio,70226.0,14.58,7318.0,25.01,362.0,29714.0,64600.0,24.4,94.71,3.63,0.39,0.13,0.3,0.02,0.73,0.09,64.0,46.0,0.63,0.87,1,0,0
39013,2005,Belmont County,Ohio,68372.0,12.42,7377.0,26.32,464.0,37753.0,82900.0,26.6,93.49,3.89,0.51,0.13,0.45,0.11,1.35,0.07,74.0,62.0,0.84,1.0,1,0,0
39013,2006,Belmont County,Ohio,68372.0,12.42,7436.0,26.32,464.0,37753.0,82900.0,26.6,93.49,3.89,0.51,0.13,0.45,0.11,1.35,0.07,85.0,69.0,0.93,1.14,1,0,0
39013,2007,Belmont County,Ohio,68372.0,12.42,7496.0,26.32,464.0,37753.0,82900.0,26.6,93.49,3.89,0.51,0.13,0.45,0.11,1.35,0.07,97.0,83.0,1.11,1.29,1,0,0
39013,2008,Belmont County,Ohio,68372.0,12.42,7555.0,26.32,464.0,37753.0,82900.0,26.6,93.49,3.89,0.51,0.13,0.45,0.11,1.35,0.07,130.0,101.0,1.34,1.72,1,0,0
39013,2009,Belmont County,Ohio,68372.0,12.42,7615.0,26.32,464.0,37753.0,82900.0,26.6,93.49,3.89,0.51,0.13,0.45,0.11,1.35,0.07,132.0,92.0,1.21,1.73,1,0,0
39013,2010,Belmont County,Ohio,70400.0,10.98,7674.0,26.76,516.0,41676.0,88000.0,27.1,93.61,4.0,0.61,0.12,0.37,0.01,1.22,0.07,185.0,132.0,1.72,2.41,1,0,0
39013,2011,Belmont County,Ohio,69560.0,9.62,7812.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,158.0,97.0,1.24,2.02,1,0,0
39013,2012,Belmont County,Ohio,69560.0,9.62,7950.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,164.0,109.0,1.37,2.06,1,0,0
39013,2013,Belmont County,Ohio,69560.0,9.62,8088.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,118.0,96.0,1.19,1.46,1,0,0
39013,2014,Belmont County,Ohio,69560.0,9.62,8226.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,131.0,109.0,1.33,1.59,1,0,0
39013,2015,Belmont County,Ohio,69560.0,9.62,8364.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,122.0,95.0,1.14,1.46,1,0,0
39013,2016,Belmont County,Ohio,69560.0,9.62,8502.0,25.83,552.0,43833.0,91700.0,26.5,93.18,3.82,0.83,0.18,0.37,0.01,1.57,0.05,88.0,54.0,0.64,1.04,1,0,0
39015,2000,Brown County,Ohio,42285.0,11.65,3175.0,20.41,433.0,38303.0,89900.0,22.7,97.77,0.9,0.44,0.16,0.13,0.0,0.55,0.05,,,,,0,0,0
39015,2001,Brown County,Ohio,42285.0,11.65,3273.0,20.41,433.0,38303.0,89900.0,22.7,97.77,0.9,0.44,0.16,0.13,0.0,0.55,0.05,163.0,99.0,3.02,4.98,0,0,0
39015,2002,Brown County,Ohio,42285.0,11.65,3371.0,20.41,433.0,38303.0,89900.0,22.7,97.77,0.9,0.44,0.16,0.13,0.0,0.55,0.05,149.0,84.0,2.49,4.42,0,0,0
39015,2003,Brown County,Ohio,42285.0,11.65,3469.0,20.41,433.0,38303.0,89900.0,22.7,97.77,0.9,0.44,0.16,0.13,0.0,0.55,0.05,,,,,0,0,0
39015,2004,Brown County,Ohio,42285.0,11.65,3567.0,20.41,433.0,38303.0,89900.0,22.7,97.77,0.9,0.44,0.16,0.13,0.0,0.55,0.05,,,,,0,0,0
39015,2005,Brown County,Ohio,43823.0,10.11,3665.0,21.38,616.0,45169.0,122100.0,29.4,97.05,1.11,0.57,0.22,0.0,0.0,0.71,0.34,,,,,0,0,0
39015,2006,Brown County,Ohio,43823.0,10.11,3763.0,21.38,616.0,45169.0,122100.0,29.4,97.05,1.11,0.57,0.22,0.0,0.0,0.71,0.34,,,,,0,0,0
39015,2007,Brown County,Ohio,43823.0,10.11,3861.0,21.38,616.0,45169.0,122100.0,29.4,97.05,1.11,0.57,0.22,0.0,0.0,0.71,0.34,,,,,0,0,0
39015,2008,Brown County,Ohio,43823.0,10.11,3959.0,21.38,616.0,45169.0,122100.0,29.4,97.05,1.11,0.57,0.22,0.0,0.0,0.71,0.34,,,,,0,0,0
39015,2009,Brown County,Ohio,43823.0,10.11,4057.0,21.38,616.0,45169.0,122100.0,29.4,97.05,1.11,0.57,0.22,0.0,0.0,0.71,0.34,,,,,0,0,0
39015,2010,Brown County,Ohio,44846.0,9.65,4155.0,24.42,664.0,45807.0,119100.0,28.3,97.15,0.85,0.6,0.17,0.24,0.01,0.95,0.03,,,,,0,0,0
39015,2011,Brown County,Ohio,44247.0,11.97,4238.0,24.34,649.0,45568.0,113800.0,26.8,96.65,0.99,0.79,0.05,0.19,0.01,1.3,0.04,137.0,28.0,0.66,3.23,0,0,0
